sample_index,attack,attack_key,true_label,clean_pred,adv_pred,clean_conf,adv_conf,confidence_drop,margin_drop,linf_255,l2,attack_success
0,FGSM,fgsm,cat,cat,frog,0.9999469518661499,0.6181865334510803,0.3817604184150696,13.48658561706543,8.00000712275505,1.7367722988128662,True
1,FGSM,fgsm,ship,ship,automobile,0.9999822378158569,0.999663233757019,0.0003190040588378906,16.284128189086914,8.00000712275505,1.7165992259979248,True
2,FGSM,fgsm,ship,ship,automobile,0.996066153049469,0.999788224697113,-0.003722071647644043,12.703142166137695,8.00000712275505,1.735315203666687,True
3,FGSM,fgsm,airplane,airplane,ship,0.9679275751113892,0.9999721050262451,-0.03204452991485596,9.229227066040039,8.00000712275505,1.7388430833816528,True
4,FGSM,fgsm,frog,frog,bird,0.9999991655349731,0.7386274337768555,0.2613717317581177,15.901993751525879,8.00000712275505,1.7385202646255493,True
5,FGSM,fgsm,frog,frog,cat,0.999748170375824,0.9778867363929749,0.02186143398284912,9.190366744995117,8.00000712275505,1.738131046295166,True
6,FGSM,fgsm,automobile,automobile,truck,0.9986860156059265,0.9999645948410034,-0.0012785792350769043,14.858091354370117,8.00000712275505,1.7240190505981445,True
7,FGSM,fgsm,frog,frog,bird,0.9986018538475037,0.9989218711853027,-0.00032001733779907227,7.910484313964844,8.00000712275505,1.7360860109329224,True
8,FGSM,fgsm,cat,cat,deer,0.999704897403717,0.5425665974617004,0.4571382999420166,9.524612426757812,8.00000712275505,1.7382283210754395,True
9,FGSM,fgsm,automobile,automobile,truck,0.9978797435760498,0.9996724128723145,-0.0017926692962646484,13.14653205871582,8.00000712275505,1.7384141683578491,True
10,FGSM,fgsm,airplane,airplane,dog,0.9994435906410217,0.890975832939148,0.10846775770187378,14.067728042602539,8.00000712275505,1.7388430833816528,True
12,FGSM,fgsm,dog,dog,cat,0.9307595491409302,0.931899905204773,-0.0011403560638427734,7.849319934844971,8.00000712275505,1.7376444339752197,True
13,FGSM,fgsm,horse,horse,dog,0.9999996423721313,0.7802598476409912,0.21973979473114014,19.86619758605957,8.00000712275505,1.7108155488967896,True
14,FGSM,fgsm,truck,truck,ship,0.9999994039535522,0.6719289422035217,0.3280704617500305,18.439746856689453,8.00000712275505,1.7334575653076172,True
16,FGSM,fgsm,dog,dog,horse,0.9663796424865723,0.9999583959579468,-0.03357875347137451,11.935815811157227,8.00000712275505,1.7100107669830322,True
17,FGSM,fgsm,horse,horse,cat,0.999874472618103,0.9774720072746277,0.022402465343475342,14.103622436523438,8.00000712275505,1.7388430833816528,True
18,FGSM,fgsm,ship,ship,airplane,0.9999867677688599,0.7683453559875488,0.23164141178131104,18.876296997070312,8.00000712275505,1.7095969915390015,True
20,FGSM,fgsm,horse,horse,cat,0.9339296221733093,0.8769994974136353,0.05693012475967407,8.57921314239502,8.00000712275505,1.7317044734954834,True
21,FGSM,fgsm,airplane,airplane,bird,0.9826235175132751,0.910454273223877,0.0721692442893982,8.012532234191895,8.00000712275505,1.6915420293807983,True
22,FGSM,fgsm,deer,deer,bird,0.9978293776512146,0.35778942704200745,0.6400399506092072,6.697608947753906,8.00000712275505,1.7388430833816528,True
24,FGSM,fgsm,dog,dog,deer,0.9466702342033386,0.9946958422660828,-0.04802560806274414,11.017464637756348,8.00000712275505,1.7388430833816528,True
25,FGSM,fgsm,bird,bird,cat,0.724668562412262,0.7055239081382751,0.019144654273986816,4.618144512176514,8.00000712275505,1.7388432025909424,True
27,FGSM,fgsm,airplane,airplane,frog,0.9991135001182556,0.9985515475273132,0.0005619525909423828,11.869649887084961,8.00000712275505,1.711889386177063,True
28,FGSM,fgsm,truck,truck,automobile,0.9999375343322754,0.9999309778213501,6.556510925292969e-06,14.547364234924316,8.00000712275505,1.7373744249343872,True
29,FGSM,fgsm,frog,frog,bird,0.9983463287353516,0.9995936751365662,-0.0012473464012145996,11.71541690826416,8.00000712275505,1.7384538650512695,True
30,FGSM,fgsm,frog,frog,cat,0.9996803998947144,0.9949026107788086,0.004777789115905762,12.263166427612305,8.00000712275505,1.736958384513855,True
31,FGSM,fgsm,dog,dog,cat,0.9999970197677612,0.806033194065094,0.19396382570266724,17.021913528442383,8.00000712275505,1.7388432025909424,True
32,FGSM,fgsm,deer,deer,ship,0.9904965162277222,0.9654360413551331,0.02506047487258911,9.088010787963867,8.00000712275505,1.7388432025909424,True
33,FGSM,fgsm,dog,dog,bird,0.9988834261894226,0.9832639098167419,0.015619516372680664,9.856410026550293,8.00000712275505,1.7077428102493286,True
35,FGSM,fgsm,bird,bird,ship,0.9857126474380493,0.9998207688331604,-0.014108121395111084,11.806661605834961,8.00000712275505,1.7294206619262695,True
36,FGSM,fgsm,deer,deer,horse,0.9570171236991882,0.999444305896759,-0.0424271821975708,12.081853866577148,8.00000712275505,1.7384982109069824,True
40,FGSM,fgsm,deer,deer,bird,0.9999315738677979,0.9999444484710693,-1.2874603271484375e-05,15.850459098815918,8.00000712275505,1.7385600805282593,True
41,FGSM,fgsm,frog,frog,cat,0.9999858140945435,0.4868623912334442,0.5131234228610992,11.877008438110352,8.00000712275505,1.738365650177002,True
42,FGSM,fgsm,dog,dog,cat,0.9995494484901428,0.9988223910331726,0.0007270574569702148,11.6471529006958,8.00000712275505,1.736449122428894,True
43,FGSM,fgsm,frog,frog,dog,0.9999991655349731,0.9948430061340332,0.005156159400939941,13.080951690673828,8.00000712275505,1.7266483306884766,True
